threshold,latency,usage,user_score,reward
0.1,19918.2665348053,0.008928571428571,5,1.45535714285714
0.5,12870.8510398865,0.012820512820513,8,2.93589743589744
0.655,19284.3382358551,0.010416666666667,1,-0.552083333333333
0.355,12275.1905918121,0.010869565217391,7,2.44565217391304
0.43,19378.59869003296,0.016129032258064516,8.0,2.9193548387096775
0.455,12954.323768615723,0.009523809523809525,8.2,3.052380952380952
0.47000000000000003,10094.812035560608,0.02666666666666667,7.0,2.3666666666666667
0.43,10364.867329597473,0.023529411764705882,8.0,2.8823529411764706
0.43,10549.834847450256,0.018867924528301886,8.0,2.9056603773584904
0.43,12443.47095489502,0.010526315789473684,8.0,2.947368421052632
0.43,12840.41690826416,0.01,8.0,2.95
