threshold,latency,usage,user_score,reward
0.1,12773.616313934326,0.010869565217391304,5.0,1.4782608695652173
0.5,10322.641372680664,0.02702702702702703,3.0,0.44594594594594605
0.9,10206.49516582489,0.029850746268656716,1.0,-0.5597014925373134
0.68,10601.697444915771,0.025,2.0,-0.050000000000000044
0.13,12898.19598197937,0.010416666666666666,5.0,1.4791666666666667
0.84,10259.51337814331,0.028985507246376812,2.0,-0.05797101449275366
0.46,10410.847783088684,0.021739130434782608,7.0,2.4565217391304346
0.68,12203.301668167114,0.012345679012345678,3.0,0.47530864197530853
0.37,12914.565086364746,0.010869565217391304,9.0,3.4782608695652173
0.23,12578.734397888184,0.010638297872340425,8.0,2.9787234042553195
0.86,10352.971076965332,0.02531645569620253,1.0,-0.5506329113924051
0.68,10491.193771362305,0.02197802197802198,1.0,-0.543956043956044
0.23,11605.228424072266,0.010638297872340425,9.0,3.4787234042553195
0.19,13300.618648529053,0.009259259259259259,6.0,1.9814814814814814
0.63,10442.304730415344,0.021505376344086023,3.0,0.456989247311828
0.32,10396.878123283386,0.022988505747126436,5.0,1.4540229885057472
0.67,12827.68177986145,0.010526315789473684,1.0,-0.5210526315789474
0.69,13270.015239715576,0.009708737864077669,2.0,-0.01941747572815533
0.3,13085.654020309448,0.009900990099009901,8.0,2.98019801980198
0.46,10468.509435653687,0.023529411764705882,7.0,2.4529411764705884
0.64,10563.17126750946,0.02247191011235955,2.0,-0.04494382022471921
0.69,10528.391480445862,0.02702702702702703,3.0,0.44594594594594605
0.88,13009.321451187134,0.010752688172043012,1.0,-0.521505376344086
0.66,13091.161727905273,0.009345794392523364,9.0,3.481308411214953
0.78,12432.758092880249,0.013513513513513514,1.0,-0.527027027027027
0.25,12643.556833267212,0.01020408163265306,9.0,3.4489795918367347
0.67,0.0,0.0,1.0,0.5
0.51,12799.839735031128,0.010869565217391304,5.0,1.4456521739130435
0.61,9339.126229286194,0.0196078431372549,1.0,-0.5980392156862746
0.5,8974.637746810913,0.019230769230769232,1.0,-0.5961538461538463
0.19,12516.28565788269,0.011235955056179775,9.0,3.443820224719101
0.39,12360.015869140625,0.009523809523809525,10.0,3.9523809523809526
0.56,10386.169075965881,0.02197802197802198,3.0,0.39010989010989006
