threshold,latency,usage,user_score,reward
0.1,12370.017528533936,0.013157894736842105,5.0,1.4342105263157894
0.5,10422.4112033844,0.025,9.0,3.375
0.9,10414.939403533936,0.02631578947368421,1.0,-0.631578947368421
0.8,20226.264238357544,0.0072992700729927005,1.0,-0.5364963503649636
0.19,16268.084049224854,0.00641025641025641,7.0,2.467948717948718
0.74,18923.826694488525,0.006493506493506494,1.0,-0.5324675324675325
0.39,8931.596159934998,0.019230769230769232,9.0,3.4038461538461537
0.42,12676.869869232178,0.013333333333333334,8.0,2.9333333333333336
0.41000000000000003,12965.736150741577,0.011764705882352941,8.0,2.9411764705882355
0.455,12724.756479263306,0.01282051282051282,9.0,3.435897435897436
0.47000000000000003,10638.355731964111,0.024390243902439025,6.0,1.8780487804878048
0.35000000000000003,12661.33999824524,0.012987012987012988,10.0,3.9350649350649354
0.335,12658.32805633545,0.013513513513513514,9.0,3.4324324324324325
0.335,12729.578971862793,0.013157894736842105,9.0,3.4342105263157894
0.33,12062.008142471313,0.012345679012345678,10.0,3.9382716049382713
0.325,12997.321605682373,0.009433962264150943,10.0,3.952830188679245
0.32,12400.039434432983,0.010526315789473684,10.0,3.947368421052632
