frame_idx,source_env,source_file,yolo_max_conf,detected_classes,status,vlm_response,latency_ms,usage_ratio
39,custom,trial_x_0.5_raw.mp4,0.3026,toilet;tv,VLM_TRIGGERED,PENDING...,0,0.5385
39,custom,trial_x_0.5_raw.mp4,N/A,VLM_RESPONSE_RECEIVED,,4.5,0.5641
40,custom,trial_x_0.5_raw.mp4,0.2966,toilet,VLM_TRIGGERED,PENDING...,0,0.5500
40,custom,trial_x_0.5_raw.mp4,N/A,VLM_RESPONSE_RECEIVED,,4.5,0.5750
41,custom,trial_x_0.5_raw.mp4,0.3168,toilet,VLM_TRIGGERED,PENDING...,0,0.5610
41,custom,trial_x_0.5_raw.mp4,N/A,VLM_RESPONSE_RECEIVED,,4.7,0.5854
42,custom,trial_x_0.5_raw.mp4,0.2994,toilet,VLM_TRIGGERED,PENDING...,0,0.5714
42,custom,trial_x_0.5_raw.mp4,N/A,VLM_RESPONSE_RECEIVED,,4.7,0.5952
43,custom,trial_x_0.5_raw.mp4,0.2710,toilet,VLM_TRIGGERED,PENDING...,0,0.5814
43,custom,trial_x_0.5_raw.mp4,N/A,VLM_RESPONSE_RECEIVED,,4.5,0.6047
44,custom,trial_x_0.5_raw.mp4,0.2899,toilet,VLM_TRIGGERED,PENDING...,0,0.5909
44,custom,trial_x_0.5_raw.mp4,N/A,VLM_RESPONSE_RECEIVED,,4.5,0.6136
45,custom,trial_x_0.5_raw.mp4,0.2843,toilet,VLM_TRIGGERED,PENDING...,0,0.6000
45,custom,trial_x_0.5_raw.mp4,N/A,VLM_RESPONSE_RECEIVED,,4.4,0.6222
46,custom,trial_x_0.5_raw.mp4,0.2801,toilet,VLM_TRIGGERED,PENDING...,0,0.6087
46,custom,trial_x_0.5_raw.mp4,N/A,VLM_RESPONSE_RECEIVED,,4.5,0.6304
47,custom,trial_x_0.5_raw.mp4,0.2721,toilet;tv,VLM_TRIGGERED,PENDING...,0,0.6170
47,custom,trial_x_0.5_raw.mp4,N/A,VLM_RESPONSE_RECEIVED,,4.3,0.6383
48,custom,trial_x_0.5_raw.mp4,0.3243,toilet;tv,VLM_TRIGGERED,PENDING...,0,0.6250
48,custom,trial_x_0.5_raw.mp4,N/A,VLM_RESPONSE_RECEIVED,,4.5,0.6458
49,custom,trial_x_0.5_raw.mp4,0.2855,toilet,VLM_TRIGGERED,PENDING...,0,0.6327
49,custom,trial_x_0.5_raw.mp4,N/A,VLM_RESPONSE_RECEIVED,,4.2,0.6531
50,custom,trial_x_0.5_raw.mp4,0.3049,toilet;tv,VLM_TRIGGERED,PENDING...,0,0.6400
50,custom,trial_x_0.5_raw.mp4,N/A,VLM_RESPONSE_RECEIVED,,4.3,0.6600
51,custom,trial_x_0.5_raw.mp4,0.3286,toilet,VLM_TRIGGERED,PENDING...,0,0.6471
51,custom,trial_x_0.5_raw.mp4,N/A,VLM_RESPONSE_RECEIVED,,4.5,0.6667
52,custom,trial_x_0.5_raw.mp4,0.2662,toilet,VLM_TRIGGERED,PENDING...,0,0.6538
52,custom,trial_x_0.5_raw.mp4,N/A,VLM_RESPONSE_RECEIVED,,4.4,0.6731
53,custom,trial_x_0.5_raw.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.6604
54,custom,trial_x_0.5_raw.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.6481
55,custom,trial_x_0.5_raw.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.6364
56,custom,trial_x_0.5_raw.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.6250
57,custom,trial_x_0.5_raw.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.6140
58,custom,trial_x_0.5_raw.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.6034
59,custom,trial_x_0.5_raw.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.5932
60,custom,trial_x_0.5_raw.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.5833
61,custom,trial_x_0.5_raw.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.5738
62,custom,trial_x_0.5_raw.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.5645
63,custom,trial_x_0.5_raw.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.5556
