threshold,latency,usage,user_score,reward
0.1,20660.79878807068,0.010638297872340425,5.0,1.446808510638298
0.5,12576.250314712524,0.014705882352941176,9.0,3.4264705882352944
0.9,19101.94706916809,0.007751937984496124,1.0,-0.5387596899224807
0.385,12510.177850723267,0.011111111111111112,8.0,2.9444444444444446
0.52,10388.524889945984,0.02197802197802198,9.5,3.64010989010989
0.58,10386.649250984192,0.023809523809523808,9.5,3.630952380952381
0.565,10495.446681976318,0.022222222222222223,7.0,2.388888888888889
0.47000000000000003,10545.109272003174,0.02197802197802198,7.0,2.39010989010989
0.51,12432.878971099854,0.011764705882352941,9.5,3.6911764705882355
0.51,17772.883653640747,0.007874015748031496,9.5,3.7106299212598426
0.51,10490.694642066956,0.020833333333333332,9.5,3.645833333333333
0.51,10434.685111045837,0.023529411764705882,9.4,3.5823529411764707
0.51,10418.552994728088,0.023809523809523808,9.2,3.4809523809523806
0.51,10170.954585075378,0.024096385542168676,9.2,3.4795180722891565
0.51,12813.62795829773,0.011235955056179775,9.0,3.443820224719101
