stamp_sec,x,y,z,yolo_conf,status,vlm_response,latency_ms,usage_ratio
1772428181,-0.09268855303525925,0.0,0.0,0.5181525945663452,VLM_TRIGGERED,PENDING...,0.0,0.14285714285714285
1772428187,-0.0941162034869194,0.0,0.0,0.48270484805107117,YOLO_ONLY,PENDING...,0.0,0.125
1772428187,-0.0941135361790657,0.0,0.0,0.4696197807788849,YOLO_ONLY,PENDING...,0.0,0.1111111111111111
1772428187,-0.09413716197013855,0.0,0.0,0.48308730125427246,YOLO_ONLY,PENDING...,0.0,0.1
1772428187,-0.09419717639684677,0.0,0.0,0.3941986858844757,YOLO_ONLY,PENDING...,0.0,0.09090909090909091
1772428188,-0.09415051341056824,0.0,0.0,0.4446236789226532,YOLO_ONLY,PENDING...,0.0,0.08333333333333333
1772428188,-0.09416837990283966,0.0,0.0,0.5009453296661377,YOLO_ONLY,PENDING...,0.0,0.07692307692307693
1772428188,-0.09429722279310226,0.0,0.0,0.4377652704715729,YOLO_ONLY,PENDING...,0.0,0.07142857142857142
1772428188,-0.09438066929578781,0.0,0.0,0.3985646367073059,YOLO_ONLY,PENDING...,0.0,0.06666666666666667
1772428188,-0.09440872073173523,0.0,0.0,0.443685382604599,YOLO_ONLY,PENDING...,0.0,0.0625
1772428189,-0.09451407194137573,0.0,0.0,0.3741209805011749,YOLO_ONLY,PENDING...,0.0,0.058823529411764705
1772428189,-0.09449339658021927,0.0,0.0,0.3529280126094818,YOLO_ONLY,PENDING...,0.0,0.05555555555555555
1772428189,-0.09448519349098206,0.0,0.0,0.47522595524787903,YOLO_ONLY,PENDING...,0.0,0.05263157894736842
1772428189,-0.0944356769323349,0.0,0.0,0.48381105065345764,YOLO_ONLY,PENDING...,0.0,0.05
1772428189,-0.09448843449354172,0.0,0.0,0.41075605154037476,YOLO_ONLY,PENDING...,0.0,0.047619047619047616
1772428189,-0.09458643198013306,0.0,0.0,0.42052358388900757,YOLO_ONLY,PENDING...,0.0,0.045454545454545456
1772428190,-0.09459437429904938,0.0,0.0,0.49259665608406067,YOLO_ONLY,PENDING...,0.0,0.043478260869565216
1772428190,-0.0945848897099495,0.0,0.0,0.3802499771118164,YOLO_ONLY,PENDING...,0.0,0.041666666666666664
1772428190,-0.09449704736471176,0.0,0.0,0.43425554037094116,YOLO_ONLY,PENDING...,0.0,0.04
1772428190,-0.09460952132940292,0.0,0.0,0.4897746741771698,YOLO_ONLY,PENDING...,0.0,0.038461538461538464
1772428190,-0.09464367479085922,0.0,0.0,0.48166021704673767,YOLO_ONLY,PENDING...,0.0,0.037037037037037035
1772428190,-0.09472411870956421,0.0,0.0,0.47133663296699524,YOLO_ONLY,PENDING...,0.0,0.03571428571428571
1772428191,-0.09476448595523834,0.0,0.0,0.4380507171154022,YOLO_ONLY,PENDING...,0.0,0.034482758620689655
1772428191,-0.09478825330734253,0.0,0.0,0.39276960492134094,YOLO_ONLY,PENDING...,0.0,0.03333333333333333
1772428191,-0.094814732670784,0.0,0.0,0.4410301148891449,YOLO_ONLY,PENDING...,0.0,0.03225806451612903
1772428191,-0.0948299765586853,0.0,0.0,0.4865254759788513,YOLO_ONLY,PENDING...,0.0,0.03125
1772428191,-0.09491182118654251,0.0,0.0,0.48470067977905273,YOLO_ONLY,PENDING...,0.0,0.030303030303030304
1772428192,-0.09484512358903885,0.0,0.0,0.4748709201812744,YOLO_ONLY,PENDING...,0.0,0.029411764705882353
1772428192,-0.09484045952558517,0.0,0.0,0.5037640929222107,YOLO_ONLY,PENDING...,0.0,0.02857142857142857
1772428192,-0.09492987394332886,0.0,0.0,0.4548913538455963,YOLO_ONLY,PENDING...,0.0,0.027777777777777776
1772428192,-0.09493082761764526,0.0,0.0,0.5001850128173828,YOLO_ONLY,PENDING...,0.0,0.02702702702702703
1772428192,-0.09502770006656647,0.0,0.0,0.5227693915367126,YOLO_ONLY,PENDING...,0.0,0.02631578947368421
1772428193,-0.09505672007799149,0.0,0.0,0.4590003490447998,YOLO_ONLY,PENDING...,0.0,0.02564102564102564
1772428193,-0.09514379501342773,0.0,0.0,0.456644743680954,YOLO_ONLY,PENDING...,0.0,0.025
1772428193,-0.09526260942220688,0.0,0.0,0.416271448135376,YOLO_ONLY,PENDING...,0.0,0.024390243902439025
1772428193,-0.09525787085294724,0.0,0.0,0.48169049620628357,YOLO_ONLY,PENDING...,0.0,0.023809523809523808
1772428193,-0.09538912773132324,0.0,0.0,0.4141584634780884,YOLO_ONLY,PENDING...,0.0,0.023255813953488372
1772428193,-0.09544301778078079,0.0,0.0,0.4913267195224762,YOLO_ONLY,PENDING...,0.0,0.022727272727272728
1772428194,-0.09550788253545761,0.0,0.0,0.47650280594825745,YOLO_ONLY,PENDING...,0.0,0.022222222222222223
1772428194,-0.09550787508487701,0.0,0.0,0.4749683439731598,YOLO_ONLY,PENDING...,0.0,0.021739130434782608
1772428194,-0.09559927135705948,0.0,0.0,0.46557801961898804,YOLO_ONLY,PENDING...,0.0,0.02127659574468085
1772428194,-0.09563969075679779,0.0,0.0,0.47973358631134033,YOLO_ONLY,PENDING...,0.0,0.020833333333333332
1772428194,-0.09567681699991226,0.0,0.0,0.48495152592658997,YOLO_ONLY,PENDING...,0.0,0.02040816326530612
1772428195,-0.09580424427986145,0.0,0.0,0.4308525025844574,YOLO_ONLY,PENDING...,0.0,0.02
1772428195,-0.09584911167621613,0.0,0.0,0.42253556847572327,YOLO_ONLY,PENDING...,0.0,0.0196078431372549
1772428195,-0.09590768814086914,0.0,0.0,0.4407851994037628,YOLO_ONLY,PENDING...,0.0,0.019230769230769232
1772428195,-0.09604126214981079,0.0,0.0,0.4516564607620239,YOLO_ONLY,PENDING...,0.0,0.018867924528301886
1772428195,-0.09607765823602676,0.0,0.0,0.4394623637199402,YOLO_ONLY,PENDING...,0.0,0.018518518518518517
1772428195,-0.09609809517860413,0.0,0.0,0.46537014842033386,YOLO_ONLY,PENDING...,0.0,0.01818181818181818
1772428196,-0.09617222845554352,0.0,0.0,0.4390670657157898,YOLO_ONLY,PENDING...,0.0,0.017857142857142856
1772428196,-0.0961897000670433,0.0,0.0,0.4094651937484741,YOLO_ONLY,PENDING...,0.0,0.017543859649122806
1772428196,-0.09622753411531448,0.0,0.0,0.4475319981575012,YOLO_ONLY,PENDING...,0.0,0.017241379310344827
1772428196,-0.0961955115199089,0.0,0.0,0.45923978090286255,YOLO_ONLY,PENDING...,0.0,0.01694915254237288
1772428196,-0.09633713215589523,0.0,0.0,0.4230262041091919,YOLO_ONLY,PENDING...,0.0,0.016666666666666666
1772428196,-0.09641580283641815,0.0,0.0,0.43195226788520813,YOLO_ONLY,PENDING...,0.0,0.01639344262295082
1772428197,-0.09646470099687576,0.0,0.0,0.5071132183074951,YOLO_ONLY,PENDING...,0.0,0.016129032258064516
1772428197,-0.09649674594402313,0.0,0.0,0.47266685962677,YOLO_ONLY,PENDING...,0.0,0.015873015873015872
1772428197,-0.09655079990625381,0.0,0.0,0.4958859384059906,YOLO_ONLY,PENDING...,0.0,0.015625
1772428197,-0.09656477719545364,0.0,0.0,0.4362340569496155,YOLO_ONLY,PENDING...,0.0,0.015384615384615385
1772428197,-0.09670368582010269,0.0,0.0,0.44226786494255066,YOLO_ONLY,PENDING...,0.0,0.015151515151515152
1772428198,-0.09675294905900955,0.0,0.0,0.4807431399822235,YOLO_ONLY,PENDING...,0.0,0.014925373134328358
1772428198,-0.09687194973230362,0.0,0.0,0.416903555393219,YOLO_ONLY,PENDING...,0.0,0.014705882352941176
1772428198,-0.09688965976238251,0.0,0.0,0.42937585711479187,YOLO_ONLY,PENDING...,0.0,0.014492753623188406
1772428198,-0.09695832431316376,0.0,0.0,0.48031607270240784,YOLO_ONLY,PENDING...,0.0,0.014285714285714285
1772428198,-0.0970054566860199,0.0,0.0,0.47300267219543457,YOLO_ONLY,PENDING...,0.0,0.014084507042253521
1772428198,-0.09701284766197205,0.0,0.0,0.47611579298973083,YOLO_ONLY,PENDING...,0.0,0.013888888888888888
1772428199,-0.09705832600593567,0.0,0.0,0.4689815938472748,YOLO_ONLY,PENDING...,0.0,0.0136986301369863
1772428199,-0.09711166471242905,0.0,0.0,0.42724430561065674,YOLO_ONLY,PENDING...,0.0,0.013513513513513514
1772428199,-0.09723600745201111,0.0,0.0,0.4525604844093323,YOLO_ONLY,PENDING...,0.0,0.013333333333333334
1772428181,-0.09268855303525925,0.0,0.0,N/A,VLM_RESPONSE_RECEIVED,In this image; there are two orange traffic cones placed on the floor in front of a desk with a computer monitor. These cones,12303.826808929443,0.013157894736842105
1772428199,-0.09732362627983093,0.0,0.0,0.4602121412754059,YOLO_ONLY,PENDING...,0.0,0.013157894736842105
1772428199,-0.09744826704263687,0.0,0.0,0.44326433539390564,VLM_TRIGGERED,PENDING...,0.0,0.025974025974025976
1772428199,-0.0974426120519638,0.0,0.0,0.40852928161621094,YOLO_ONLY,PENDING...,0.0,0.02564102564102564
1772428199,-0.09749894589185715,0.0,0.0,0.4608985483646393,YOLO_ONLY,PENDING...,0.0,0.02531645569620253
1772428200,-0.09749229997396469,0.0,0.0,0.45674222707748413,YOLO_ONLY,PENDING...,0.0,0.025
1772428200,-0.0975591316819191,0.0,0.0,0.39072030782699585,YOLO_ONLY,PENDING...,0.0,0.024691358024691357
1772428200,-0.09758353233337402,0.0,0.0,0.3998267352581024,YOLO_ONLY,PENDING...,0.0,0.024390243902439025
1772428199,-0.09744826704263687,0.0,0.0,N/A,VLM_RESPONSE_RECEIVED,In this image; there are two orange traffic cones placed on the floor in front of a robot. These cones can be considered as potential,8651.805400848389,0.024390243902439025
