threshold,latency,usage,user_score,reward
0.1,0,0,1.3,0.65
0.5,3965.498209,0.053763441,8.9,3.181182796
0.9,8351.900918,0.538461538,1.8,-2.792307692
0.414248744,0,0,5,2.5
0.414248734,5091.064332,0.948051948,4.7,-3.39025974
0.527935845,3992.07896,0.037037037,8.3,2.964814815
0.510561123,4033.364384,0.275362319,8.1,1.673188406
0.546757803,5270.258029,0.025423729,8.4,3.072881356
0.482330471,4014.557457,0.185185185,8,2.074074074
0.592643949,5165.493155,0.064102564,8.3,2.829487179
0.56551513,5595.27673,0.059322034,8.5,2.953389831
0.565092036,5148.387957,0.064102564,8.5,2.929487179
0.567908075,4183.497143,0.053763441,8.5,2.981182796
