frame,object_name,yolo_confidence,depth_ft,used_vlm,output_text,latency_ms,direction
1479,dining table,0.252,7.75,0,[FAST MODE - TOO CLOSE],155.12,left
1480,person,0.364,28.44,0,[FAST MODE - HIGH CONF],165.24,left
1481,person,0.275,25.39,0,[FAST MODE - HIGH CONF],180.82,left
1482,person,0.298,28.29,0,[FAST MODE - HIGH CONF],169.63,left
1483,dining table,0.251,8.58,0,[FAST MODE - TOO CLOSE],154.76,left
1484,person,0.261,26.21,0,[FAST MODE - HIGH CONF],173.58,left
1485,potted plant,0.289,8.55,0,[FAST MODE - TOO CLOSE],172.33,right
1486,person,0.316,25.8,0,[FAST MODE - HIGH CONF],177.03,left
1487,dining table,0.253,8.37,0,[FAST MODE - TOO CLOSE],157.23,left
1488,person,0.37,28.09,0,[FAST MODE - HIGH CONF],166.18,left
1489,person,0.257,22.77,0,[FAST MODE - HIGH CONF],169.56,left
1490,person,0.337,28.38,0,[FAST MODE - HIGH CONF],165.44,left
1491,potted plant,0.275,18.3,0,[FAST MODE - HIGH CONF],158.83,left
1492,person,0.255,24.22,0,[FAST MODE - HIGH CONF],168.39,left
1493,potted plant,0.277,18.53,0,[FAST MODE - HIGH CONF],154.87,left
1494,person,0.254,21.87,0,[FAST MODE - HIGH CONF],164.38,left
1495,person,0.265,25.68,0,[FAST MODE - HIGH CONF],157.93,left
1496,person,0.26,28.77,0,[FAST MODE - HIGH CONF],158.27,left
1497,person,0.294,25.07,0,[FAST MODE - HIGH CONF],168.83,left
1498,chair,0.312,12.73,0,[FAST MODE - HIGH CONF],154.81,left
1499,person,0.272,25.8,0,[FAST MODE - HIGH CONF],168.21,left
1500,potted plant,0.256,28.02,0,[FAST MODE - HIGH CONF],163.52,left
1501,chair,0.258,12.64,0,[FAST MODE - HIGH CONF],163.91,left
1502,potted plant,0.278,28.26,0,[FAST MODE - HIGH CONF],161.01,left
1503,person,0.256,15.86,0,[FAST MODE - HIGH CONF],173.84,left
1504,person,0.267,25.37,0,[FAST MODE - HIGH CONF],160.78,left
1505,person,0.268,25.16,0,[FAST MODE - HIGH CONF],160.92,left
1506,potted plant,0.255,27.74,0,[FAST MODE - HIGH CONF],165.85,left
1507,person,0.277,25.49,0,[FAST MODE - HIGH CONF],151.59,left
1508,person,0.254,25.78,0,[FAST MODE - HIGH CONF],157.46,left
1509,person,0.285,26.56,0,[FAST MODE - HIGH CONF],135.22,left
1510,person,0.256,28.98,0,[FAST MODE - HIGH CONF],153.68,left
1511,person,0.25,25.48,0,[FAST MODE - HIGH CONF],155.47,left
1512,chair,0.261,10.42,0,[FAST MODE - HIGH CONF],151.82,left
1513,person,0.255,29.24,0,[FAST MODE - HIGH CONF],176.71,left
1514,person,0.252,28.72,0,[FAST MODE - HIGH CONF],160.13,left
1515,person,0.261,25.97,0,[FAST MODE - HIGH CONF],154.31,left
1516,potted plant,0.27,10.57,0,[FAST MODE - HIGH CONF],162.27,right
1517,person,0.297,26.06,0,[FAST MODE - HIGH CONF],148.86,left
1518,potted plant,0.299,11.08,0,[FAST MODE - HIGH CONF],141.74,right
1519,potted plant,0.276,11.23,0,[FAST MODE - HIGH CONF],167.49,right
1520,potted plant,0.299,10.86,0,[FAST MODE - HIGH CONF],175.26,right
1521,person,0.257,28.52,0,[FAST MODE - HIGH CONF],175.99,left
1522,dining table,0.255,13.15,0,[FAST MODE - HIGH CONF],173.2,left
1523,person,0.332,24.56,0,[FAST MODE - HIGH CONF],168.72,left
1524,potted plant,0.257,10.1,0,[FAST MODE - HIGH CONF],170.31,right
1525,person,0.36,28.58,0,[FAST MODE - HIGH CONF],175.62,left
1526,bench,0.274,11.37,0,[FAST MODE - HIGH CONF],159.56,left
1527,bench,0.304,12.02,0,[FAST MODE - HIGH CONF],171.77,left
1528,person,0.281,27.93,0,[FAST MODE - HIGH CONF],170.1,left
1529,potted plant,0.278,27.93,0,[FAST MODE - HIGH CONF],177.05,left
1530,person,0.26,28.77,0,[FAST MODE - HIGH CONF],179.58,left
1531,potted plant,0.275,27.74,0,[FAST MODE - HIGH CONF],164.48,left
1532,potted plant,0.25,10.15,0,[FAST MODE - HIGH CONF],146.37,right
1533,person,0.273,12.56,0,[FAST MODE - HIGH CONF],129.33,left
1534,person,0.311,26.55,0,[FAST MODE - HIGH CONF],154.23,left
1535,person,0.287,26.7,0,[FAST MODE - HIGH CONF],158.09,left
1536,potted plant,0.261,27.98,0,[FAST MODE - HIGH CONF],172.46,left
1537,person,0.26,26.62,0,[FAST MODE - HIGH CONF],186.39,left
1538,potted plant,0.265,27.97,0,[FAST MODE - HIGH CONF],234.05,left
1539,person,0.255,26.82,0,[FAST MODE - HIGH CONF],186.68,left
1540,potted plant,0.266,28.44,0,[FAST MODE - HIGH CONF],177.42,left
1541,person,0.258,18.93,0,[FAST MODE - HIGH CONF],163.54,left
1542,person,0.271,26.8,0,[FAST MODE - HIGH CONF],193.37,left
1543,person,0.281,26.88,0,[FAST MODE - HIGH CONF],162.48,left
1544,potted plant,0.263,25.71,0,[FAST MODE - HIGH CONF],164.64,left
1545,potted plant,0.275,28.51,0,[FAST MODE - HIGH CONF],150.29,left
1546,potted plant,0.279,28.45,0,[FAST MODE - HIGH CONF],159.61,left
1547,potted plant,0.269,28.07,0,[FAST MODE - HIGH CONF],133.35,left
1548,person,0.31,24.22,0,[FAST MODE - HIGH CONF],168.55,left
1549,person,0.269,24.79,0,[FAST MODE - HIGH CONF],159.37,left
1550,potted plant,0.299,25.65,0,[FAST MODE - HIGH CONF],145.95,left
1551,potted plant,0.29,24.97,0,[FAST MODE - HIGH CONF],178.09,left
1552,potted plant,0.259,23.67,0,[FAST MODE - HIGH CONF],163.25,left
1553,person,0.255,22.91,0,[FAST MODE - HIGH CONF],171.92,left
1554,person,0.268,28.01,0,[FAST MODE - HIGH CONF],198.01,left
1555,potted plant,0.313,27.41,0,[FAST MODE - HIGH CONF],163.47,left
1556,person,0.257,25.78,0,[FAST MODE - HIGH CONF],177.64,left
1557,person,0.291,28.03,0,[FAST MODE - HIGH CONF],127.17,left
1558,person,0.253,24.44,0,[FAST MODE - HIGH CONF],135.53,left
1559,person,0.265,24.55,0,[FAST MODE - HIGH CONF],144.86,left
1560,potted plant,0.254,27.89,0,[FAST MODE - HIGH CONF],156.48,left
1561,potted plant,0.254,28.64,0,[FAST MODE - HIGH CONF],148.61,left
1562,chair,0.555,15.36,0,[FAST MODE - HIGH CONF],113.76,left
1563,person,0.639,26.13,0,[FAST MODE - HIGH CONF],113.75,left
1564,person,0.565,25.37,0,[FAST MODE - HIGH CONF],115.98,left
1565,person,0.288,24.1,0,[FAST MODE - HIGH CONF],154.27,left
