frame,object_name,yolo_confidence,depth_ft,used_vlm,output_text,latency_ms,direction
1,person,0.263,29.48,0,[FAST MODE - HIGH CONF],2147.9,left
2,bench,0.261,28.8,0,[FAST MODE - HIGH CONF],420.66,left
3,person,0.289,30.83,0,[FAST MODE - HIGH CONF],275.93,left
4,person,0.278,30.19,0,[FAST MODE - HIGH CONF],166.37,left
5,person,0.26,30.15,0,[FAST MODE - HIGH CONF],184.26,left
6,person,0.256,28.81,0,[FAST MODE - HIGH CONF],225.49,left
7,person,0.252,30.57,0,[FAST MODE - HIGH CONF],254.51,left
8,person,0.268,28.46,0,[FAST MODE - HIGH CONF],215.63,left
9,person,0.253,28.98,0,[FAST MODE - HIGH CONF],211.07,left
10,person,0.268,29.48,0,[FAST MODE - HIGH CONF],206.45,left
11,person,0.321,30.04,0,[FAST MODE - HIGH CONF],267.68,left
12,person,0.312,29.89,0,[FAST MODE - HIGH CONF],178.85,left
13,person,0.299,29.1,0,[FAST MODE - HIGH CONF],177.96,left
14,person,0.277,28.82,0,[FAST MODE - HIGH CONF],207.46,left
15,person,0.266,28.27,0,[FAST MODE - HIGH CONF],229.41,left
16,person,0.254,27.87,0,[FAST MODE - HIGH CONF],208.13,left
17,person,0.314,28.76,0,[FAST MODE - HIGH CONF],189.09,left
18,potted plant,0.29,19.39,0,[FAST MODE - HIGH CONF],210.41,left
19,potted plant,0.31,22.34,0,[FAST MODE - HIGH CONF],255.54,left
20,potted plant,0.356,20.7,0,[FAST MODE - HIGH CONF],202.01,left
21,bench,0.266,26.39,0,[FAST MODE - HIGH CONF],186.49,left
22,person,0.272,26.48,0,[FAST MODE - HIGH CONF],210.57,left
23,bench,0.286,24.09,0,[FAST MODE - HIGH CONF],194.51,left
24,person,0.262,26.83,0,[FAST MODE - HIGH CONF],212.36,left
25,person,0.32,27.6,0,[FAST MODE - HIGH CONF],216.5,left
26,person,0.306,28.17,0,[FAST MODE - HIGH CONF],212.46,left
27,person,0.254,27.88,0,[FAST MODE - HIGH CONF],180.24,left
28,person,0.31,27.59,0,[FAST MODE - HIGH CONF],145.58,left
29,person,0.309,26.69,0,[FAST MODE - HIGH CONF],144.59,left
30,person,0.259,26.91,0,[FAST MODE - HIGH CONF],197.35,left
31,person,0.26,26.82,0,[FAST MODE - HIGH CONF],195.04,left
32,person,0.254,27.62,0,[FAST MODE - HIGH CONF],251.66,left
33,bench,0.275,3.94,0,[FAST MODE - TOO CLOSE],161.46,right
34,bench,0.27,24.74,0,[FAST MODE - HIGH CONF],168.86,left
35,bench,0.25,25.29,0,[FAST MODE - HIGH CONF],167.95,left
36,person,0.282,27.71,0,[FAST MODE - HIGH CONF],169.32,left
37,person,0.271,27.76,0,[FAST MODE - HIGH CONF],176.27,left
