frame_idx,source_env,source_file,yolo_max_conf,detected_classes,status,vlm_response,latency_ms,usage_ratio
60,custom,trial_x_0.51_raw.mp4,N/A,VLM_RESPONSE_RECEIVED,The room contains a few obstacles and hazards; such as the cluttered desks and chairs; which could pose a tripping hazard. The whiteboard; while not an obstacle; is covered in writing that could be distracting or obstructive. The black blurry circle in the center is a camera artifact and should be ignored. The floor appears to be a standard classroom floor; and the path is clear; with no immediate obstacles visible in the image.,5239.3,0.0333
61,custom,trial_x_0.51_raw.mp4,0.2571,laptop,VLM_TRIGGERED,PENDING...,0,0.0328
61,custom,trial_x_0.51_raw.mp4,N/A,VLM_RESPONSE_RECEIVED,The room contains a few obstacles and hazards; such as the cluttered desks and chairs; which could pose a tripping hazard. The whiteboard; while not an obstacle; is covered in writing that could be distracting or obstructive. The black blurry circle in the center is a camera artifact and should be ignored. The floor appears to be a standard classroom floor; and the path is clear; with no immediate obstacles visible in the image.,5136.5,0.0492
62,custom,trial_x_0.51_raw.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.0484
63,custom,trial_x_0.51_raw.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.0476
64,custom,trial_x_0.51_raw.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.0469
65,custom,trial_x_0.51_raw.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.0462
66,custom,trial_x_0.51_raw.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.0455
67,custom,trial_x_0.51_raw.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.0448
68,custom,trial_x_0.51_raw.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.0441
69,custom,trial_x_0.51_raw.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.0435
70,custom,trial_x_0.51_raw.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.0429
71,custom,trial_x_0.51_raw.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.0423
72,custom,trial_x_0.51_raw.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.0417
73,custom,trial_x_0.51_raw.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.0411
74,custom,trial_x_0.51_raw.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.0405
75,custom,trial_x_0.51_raw.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.0400
76,custom,trial_x_0.51_raw.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.0395
77,custom,trial_x_0.51_raw.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.0390
78,custom,trial_x_0.51_raw.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.0385
79,custom,trial_x_0.51_raw.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.0380
80,custom,trial_x_0.51_raw.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.0375
81,custom,trial_x_0.51_raw.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.0370
82,custom,trial_x_0.51_raw.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.0366
83,custom,trial_x_0.51_raw.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.0361
84,custom,trial_x_0.51_raw.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.0357
