stamp_sec,x,y,z,yolo_conf,detected_classes,status,vlm_response,latency_ms,vlm_usage_ratio
1771007444,-0.17497500777244568,-0.7001081705093384,0.3023751974105835,0.0000,None,VLM_TRIGGERED,N/A,0.0,0.2000
1771007450,-0.167948380112648,-0.6995206475257874,0.3023666739463806,0.8068,chair,YOLO_ONLY,N/A,0.0,0.1667
1771007450,-0.16785481572151184,-0.6994894742965698,0.302386075258255,0.7939,chair,YOLO_ONLY,N/A,0.0,0.1429
1771007450,-0.16782619059085846,-0.6994598507881165,0.30237698554992676,0.7160,chair,YOLO_ONLY,N/A,0.0,0.1250
1771007450,-0.16770906746387482,-0.69945228099823,0.3023553788661957,0.7630,chair,YOLO_ONLY,N/A,0.0,0.1111
1771007450,-0.1676110029220581,-0.6994467973709106,0.3023795187473297,0.7932,chair,YOLO_ONLY,N/A,0.0,0.1000
1771007450,-0.16756469011306763,-0.6994125843048096,0.3023722767829895,0.7693,chair,YOLO_ONLY,N/A,0.0,0.0909
1771007450,-0.16762280464172363,-0.699428379535675,0.3023819923400879,0.7149,chair,YOLO_ONLY,N/A,0.0,0.0833
1771007450,-0.1675088107585907,-0.6993832588195801,0.3023604452610016,0.7477,chair,YOLO_ONLY,N/A,0.0,0.0769
1771007450,-0.16744640469551086,-0.699402928352356,0.30237090587615967,0.7502,chair,YOLO_ONLY,N/A,0.0,0.0714
1771007450,-0.16737376153469086,-0.6993564963340759,0.3023606836795807,0.7313,chair,YOLO_ONLY,N/A,0.0,0.0667
1771007451,-0.16724450886249542,-0.6993030309677124,0.30237263441085815,0.7569,chair,YOLO_ONLY,N/A,0.0,0.0625
1771007451,-0.16714845597743988,-0.6993359923362732,0.30237701535224915,0.7730,chair,YOLO_ONLY,N/A,0.0,0.0588
1771007451,-0.16708867251873016,-0.699333906173706,0.3023657500743866,0.7167,chair,YOLO_ONLY,N/A,0.0,0.0556
1771007451,-0.1664886474609375,-0.6994531750679016,0.30236709117889404,0.8016,chair,YOLO_ONLY,N/A,0.0,0.0526
